"filename", "language", "Markdown", "JavaScript", "Ini", "XML", "TypeScript", "JSON", "CSS", "Solidity", "comment", "blank", "total"
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\.prettierrc", "JSON", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\README.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\addEvents.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 90, 9, 163
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\components\about.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\components\banner.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\components\faq.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 49
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\components\footer.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 0, 0, 2, 112
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\components\info.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\components\layout.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\components\navbar.js", "JavaScript", 0, 383, 0, 0, 0, 0, 0, 0, 0, 10, 393
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\components\roadmap.js", "JavaScript", 0, 182, 0, 0, 0, 0, 0, 0, 0, 4, 186
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\components\socials.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 83
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\components\team.js", "JavaScript", 0, 275, 0, 0, 0, 0, 0, 0, 0, 4, 279
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\constants\MyBoredApe.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\constants\networkMapping.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\contracts\ERC721Psi.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 385, 186, 62, 633
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\contracts\MyBoredApe.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 295, 46, 35, 376
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\dapp.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\deploy\01-deploy-nft-contract.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 4, 5, 57
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\deploy\02-update-front-end.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\deployments\localhost\MyBoredApe.json", "JSON", 0, 0, 0, 0, 0, 1421, 0, 0, 0, 0, 1421
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\deployments\localhost\solcInputs\4124c1cfa8aa7fac6347803b5b9cd6d2.json", "JSON", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 86
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\deployments\rinkeby\MyBoredApe.json", "JSON", 0, 0, 0, 0, 0, 1421, 0, 0, 0, 0, 1421
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\deployments\rinkeby\solcInputs\4124c1cfa8aa7fac6347803b5b9cd6d2.json", "JSON", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 86
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\frp\frpc.ini", "Ini", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\hardhat.config.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 0, 17, 5, 121
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\helper-hardhat-config.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\next.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\package-lock.json", "JSON", 0, 0, 0, 0, 0, 48400, 0, 0, 0, 1, 48401
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\package.json", "JSON", 0, 0, 0, 0, 0, 72, 0, 0, 0, 1, 73
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\pages\_app.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Atilim\Documents\My Projects\Block-Chain\Ethereum\Example\bored ape\minting_dapp\pages\admin.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
